	Year	Month	n
0	2017	06	220
1	2017	07	975
2	2017	08	2506
3	2017	09	1808
4	2017	10	1432
5	2017	11	1466
6	2017	12	1003
7	2018	01	1371
8	2018	02	1284
9	2018	03	1541
10	2018	04	1184
11	2018	05	982
12	2018	06	928
13	2018	07	1120
14	2018	08	876
15	2018	09	810
16	2018	10	509
17	2018	11	263
18	2018	12	7
