str;data;rozmiar
portuguese.stackexchange.com.7z;02-Dec-2018 18:08;5.9M
christianity.meta.stackexchange.com.7z;02-Dec-2018 16:01;5.8M
bricks.stackexchange.com.7z;02-Dec-2018 16:00;5.6M
monero.stackexchange.com.7z;02-Dec-2018 17:56;5.5M
cseducators.stackexchange.com.7z;02-Dec-2018 16:12;5.4M
sustainability.stackexchange.com.7z;03-Dec-2018 05:13;5.4M
unix.meta.stackexchange.com.7z;03-Dec-2018 05:23;5.4M
electronics.meta.stackexchange.com.7z;02-Dec-2018 16:18;5.3M
devops.stackexchange.com.7z;02-Dec-2018 16:15;5.2M
meta.mathoverflow.net.7z;02-Dec-2018 17:49;5.2M
mythology.stackexchange.com.7z;02-Dec-2018 17:58;5.1M
skeptics.meta.stackexchange.com.7z;02-Dec-2018 18:38;5.1M
windowsphone.stackexchange.com.7z;03-Dec-2018 05:31;5.1M
meta.es.stackoverflow.com.7z;02-Dec-2018 17:49;5.0M
ukrainian.stackexchange.com.7z;03-Dec-2018 05:23;5.0M
mythology.meta.stackexchange.com.7z;02-Dec-2018 17:58;495.9K
history.stackexchange.com.7z;02-Dec-2018 16:59;49.1M
music.stackexchange.com.7z;02-Dec-2018 17:58;49.1M
skeptics.stackexchange.com.7z;02-Dec-2018 18:39;49.0M
latin.meta.stackexchange.com.7z;02-Dec-2018 17:04;487.1K
augur.stackexchange.com.7z;02-Dec-2018 15:56;471.4K
ru.stackoverflow.com.7z;02-Dec-2018 18:22;471.1M
tex.stackexchange.com.7z;03-Dec-2018 05:21;470.3M
webapps.stackexchange.com.7z;03-Dec-2018 05:30;47.0M
robotics.meta.stackexchange.com.7z;02-Dec-2018 18:16;465.4K
portuguese.meta.stackexchange.com.7z;02-Dec-2018 18:08;465.3K
sqa.meta.stackexchange.com.7z;02-Dec-2018 18:42;465.3K
avp.meta.stackexchange.com.7z;02-Dec-2018 15:57;459.3K
datascience.meta.stackexchange.com.7z;02-Dec-2018 16:13;459.2K
meta.ukrainian.stackexchange.com.7z;02-Dec-2018 17:56;458.0K
quantumcomputing.meta.stackexchange.com.7z;02-Dec-2018 18:15;452.3K
languagelearning.meta.stackexchange.com.7z;02-Dec-2018 17:04;450.1K
