"Id","TotalComment","ViewCount"
4100,31,NA
4108,10,NA
4120,14,NA
4128,19,NA
4131,26,NA
4133,14,NA
4143,13,NA
4147,41,4630
4152,33,NA
4156,27,5585
4164,10,NA
4189,22,NA
4204,18,NA
4211,22,1187
4212,8,NA
4216,47,NA
4225,51,NA
4233,13,NA
4238,91,NA
4260,11,NA
4269,35,NA
4275,19,NA
4277,32,NA
4294,4,NA
4298,27,NA
4302,20,NA
4306,24,NA
4315,2,NA
4328,6,NA
4334,33,NA
4346,11,NA
4350,74,NA
4365,29,NA
4372,4,NA
4378,12,NA
4381,4,NA
4383,9,NA
4386,21,NA
4401,25,NA
4407,61,NA
4425,61,NA
4443,19,NA
4451,46,NA
4480,9,NA
4492,8,5533
4498,20,NA
4504,20,NA
4521,18,19773
4536,15,NA
4540,15,NA
4545,9,NA
4573,19,NA
4592,27,NA
4610,73,NA
4618,27,NA
4632,47,NA
4639,1,NA
4661,16,NA
4664,4,NA
4669,8,NA
4670,59,979
4672,43,NA
4687,12,NA
4703,28,1756
4709,11,NA
4716,5,NA
4728,80,NA
4734,45,NA
4769,4,NA
4772,11,NA
4773,11,NA
4776,53,NA
4792,4,NA
4796,5,NA
4797,14,NA
4804,40,1448
4811,15,NA
4812,20,732
4815,15,NA
4842,102,NA
4852,20,NA
4872,48,NA
4918,21,4487
4920,25,NA
4937,16,NA
4949,15,NA
4951,44,NA
4961,12,NA
4972,67,NA
4991,13,NA
4992,14,NA
4996,48,NA
5004,7,NA
5020,14,NA
5032,39,NA
5036,14,NA
5045,20,964
5050,43,1564
5060,15,NA
5065,41,NA
5092,8,726
5101,8,NA
5103,9,8686
5116,15,NA
5117,45,NA
5141,17,NA
5143,30,NA
5149,21,NA
5164,17,NA
5171,24,NA
5174,53,NA
5199,8,NA
5216,10,NA
5220,28,NA
5222,50,NA
5236,33,NA
5247,46,NA
5269,20,NA
5274,41,1075
5286,15,NA
5306,34,NA
5307,20,NA
5314,17,NA
5315,29,NA
6326,46,NA
6333,15,NA
6341,18,NA
6356,13,NA
6363,5,NA
6371,19,NA
6375,41,NA
6385,9,NA
6389,13,NA
6392,16,NA
6396,11,NA
6398,47,NA
6422,17,NA
6423,22,NA
6432,2,NA
6436,20,NA
6456,46,NA
6476,5,NA
6481,30,NA
6487,30,NA
6488,8,NA
6505,35,NA
6523,6,NA
6533,44,NA
6541,7,NA
6550,9,13342
