	Id	TotalCm	ViewCount
248	1101	13.0	1955.0
249	1108	3.0	3081.0
250	1111	4.0	13513.0
251	1113	4.0	1391.0
252	1116	14.0	10830.0
253	1117	5.0	257.0
254	1118	15.0	48734.0
255	1124	5.0	1037.0
256	1125	10.0	8065.0
257	1130	9.0	2683.0
258	1131	9.0	1045.0
259	1132	5.0	505.0
260	1137	2.0	2508.0
261	1138	9.0	2964.0
262	1141	12.0	3456.0
263	1142	17.0	1307.0
264	1144	23.0	97506.0
265	1162	8.0	1686.0
266	1164	9.0	2709.0
267	1167	10.0	10877.0
268	1170	14.0	10102.0
269	1171	9.0	392.0
270	1180	9.0	3729.0
271	1184	4.0	155.0
272	1190	6.0	1157.0
273	1191	26.0	3157.0
274	1194	7.0	1641.0
275	1199	6.0	238.0
276	1200	11.0	919.0
277	1204	6.0	2186.0
278	1219	26.0	1296.0
279	1225	8.0	3749.0
280	1229	7.0	393.0
281	1232	9.0	444.0
282	1235	9.0	720.0
283	1240	14.0	826.0
284	1248	4.0	271.0
285	1249	2.0	883.0
286	1250	8.0	5634.0
287	1257	4.0	26764.0
288	1258	13.0	2081.0
289	1267	14.0	38869.0
290	1268	8.0	378.0
291	1271	6.0	183.0
292	1272	11.0	94827.0
293	1273	13.0	2271.0
294	1279	5.0	1782.0
295	1282	7.0	603.0
296	1288	1.0	3682.0
297	1292	11.0	580.0
298	1296	13.0	3559.0
299	1299	9.0	3769.0
300	1304	12.0	2666.0
301	1305	14.0	328.0
302	1309	11.0	19796.0
303	1322	10.0	13431.0
304	1323	11.0	314.0
305	1341	14.0	13205.0
306	1344	3.0	943.0
307	1347	27.0	10661.0
308	1353	2.0	398.0
309	1357	1.0	700.0
310	1359	13.0	456.0
311	1369	7.0	28825.0
312	1376	19.0	1198.0
313	1387	12.0	2158.0
314	1390	12.0	2633.0
315	1393	10.0	2001.0
316	1394	17.0	10439.0
317	1398	2.0	244.0
318	1400	9.0	522.0
319	1404	3.0	576.0
320	1407	7.0	28346.0
321	1408	7.0	623.0
322	1413	22.0	21127.0
323	1418	7.0	221.0
324	1426	11.0	6192.0
325	1436	9.0	33397.0
326	1438	5.0	408.0
327	1441	3.0	495.0
328	1443	6.0	187.0
329	1452	14.0	32405.0
330	1453	6.0	5002.0
331	1456	8.0	6436.0
332	1462	9.0	10889.0
333	1463	3.0	3907.0
334	1466	24.0	1206.0
335	1470	4.0	913.0
336	1471	32.0	130897.0
337	1478	2.0	158.0
338	1487	5.0	1135.0
339	1488	24.0	111301.0
340	1489	8.0	10781.0
341	1494	5.0	10907.0
342	1496	1.0	686.0
343	1502	5.0	264.0
