	Id	TotalCm	ViewCount
285	1936	13	381.0
286	1943	3	1601.0
287	1948	73	9850.0
288	1952	14	4029.0
289	1959	49	17754.0
290	1960	45	14187.0
291	1964	34	7534.0
292	1980	6	1515.0
293	1981	14	1346.0
294	1986	18	1698.0
295	1992	6	234.0
296	2001	11	245.0
297	2002	14	7069.0
298	2006	11	3424.0
299	2033	57	25935.0
300	2047	22	5872.0
301	2061	44	8686.0
302	2092	13	1708.0
303	2115	42	16151.0
304	2137	16	1281.0
305	2150	35	2564.0
306	2151	19	1891.0
307	2169	6	2000.0
308	2172	40	9179.0
309	2183	18	9044.0
310	2204	9	7380.0
311	2211	18	3626.0
312	2217	36	6606.0
313	2223	57	18137.0
314	2232	29	11578.0
315	2235	48	7741.0
316	2276	5	527.0
317	2278	33	2749.0
318	2297	14	2297.0
319	2298	18	10229.0
320	2306	35	4288.0
321	2312	52	9891.0
322	2337	9	378.0
323	2340	27	14841.0
324	2342	35	9318.0
325	2344	14	3742.0
326	2353	10	4674.0
327	2355	13	3955.0
328	2358	39	3828.0
329	2361	58	22108.0
330	2374	14	1181.0
331	2378	7	1737.0
332	2380	9	1850.0
333	2382	25	10313.0
334	2405	26	8260.0
335	2426	15	2754.0
336	2435	72	14827.0
337	2456	13	1295.0
338	2459	6	563.0
339	2463	21	15950.0
340	2467	3	472.0
341	2472	12	839.0
342	2475	8	632.0
343	2488	8	1089.0
344	2494	27	905.0
345	2498	6	3395.0
346	2516	19	10896.0
347	2525	48	11138.0
348	2534	6	712.0
349	2536	19	1312.0
350	2539	39	8329.0
351	2541	21	4468.0
352	2542	15	1283.0
353	2547	9	244.0
354	2568	10	5212.0
355	2580	46	8342.0
356	2581	13	174.0
357	2587	20	9297.0
358	2615	9	6928.0
359	2626	13	3514.0
360	2629	7	664.0
361	2632	25	11422.0
362	2636	12	1717.0
363	2639	9	658.0
364	2642	30	3103.0
365	2651	19	2863.0
366	2686	16	1922.0
367	2687	21	6488.0
368	2699	34	47070.0
369	2714	26	6859.0
370	2719	48	14769.0
371	2720	39	5028.0
372	2737	25	11630.0
373	2750	49	16753.0
374	2751	81	11915.0
375	2761	41	6399.0
376	2768	5	432.0
377	2769	8	2508.0
378	2776	17	1805.0
379	2785	12	987.0
380	2802	50	12770.0
381	2817	8	352.0
382	2827	11	914.0
383	2849	3	313.0
384	2853	9	479.0
385	2868	45	6856.0
386	2874	12	1498.0
387	2883	54	22820.0
388	2884	24	5211.0
389	2886	13	880.0
390	2897	50	7356.0
391	2929	13	3516.0
392	2938	10	1038.0
393	2944	8	895.0
394	2949	19	3796.0
395	2951	25	16644.0
396	2954	22	3986.0
397	2958	15	2074.0
398	2970	34	12304.0
399	2977	9	1320.0
400	2991	22	10400.0
401	3002	16	1495.0
402	3016	7	460.0
403	3017	23	4432.0
404	3033	33	6052.0
405	3043	19	2601.0
406	3046	17	3400.0
407	3049	7	1112.0
408	3053	20	7513.0
409	3060	16	3611.0
410	3066	9	2247.0
411	3075	14	7583.0
412	3083	11	522.0
413	3086	7	3363.0
414	3087	8	2130.0
415	3092	12	1930.0
416	3093	3	1035.0
417	3095	54	2317.0
418	3097	35	23258.0
419	3103	15	587.0
420	3117	12	3462.0
421	3131	7	5666.0
422	3135	2	599.0
423	3141	33	6221.0
424	3142	6	4307.0
425	3144	12	1306.0
426	3148	2	1262.0
427	3150	11	246.0
428	3162	16	1874.0
429	3164	15	7181.0
430	3187	7	347.0
431	3189	5	477.0
432	3192	7	703.0
433	3204	11	1192.0
434	3213	65	23782.0
435	3214	8	602.0
436	3220	21	1265.0
437	3221	39	49569.0
438	3223	34	4048.0
439	3253	19	18483.0
440	3261	6	1014.0
441	3264	10	840.0
442	3265	13	841.0
443	3274	45	14091.0
444	3280	14	349.0
445	3294	36	11692.0
446	3297	19	1033.0
447	3319	10	1655.0
448	3322	19	7194.0
449	3327	15	9508.0
450	3333	23	2685.0
451	3344	16	564.0
452	3348	18	5991.0
453	3361	4	893.0
454	3362	12	492.0
455	3379	19	14539.0
456	3385	21	20824.0
457	3390	1	242.0
458	3418	13	1032.0
459	3419	5	1811.0
460	3428	21	990.0
461	3429	39	18146.0
462	3448	9	1888.0
463	3453	31	6950.0
464	3457	54	18380.0
465	3466	25	354.0
466	3475	22	8341.0
467	3489	17	5081.0
468	3497	32	671.0
469	3501	7	852.0
470	3506	6	2272.0
471	3512	31	2719.0
472	3534	18	4655.0
473	3539	14	1054.0
474	3547	33	15761.0
475	3550	5	610.0
476	3560	45	10139.0
477	3568	12	2180.0
478	3573	96	19391.0
479	3588	19	5350.0
480	3610	18	3766.0
481	3611	10	474.0
482	3622	4	1814.0
483	3636	26	3002.0
484	3639	16	2071.0
485	3645	13	1027.0
486	3654	21	3387.0
487	3658	26	44919.0
488	3667	27	8405.0
489	3680	11	1300.0
490	3681	18	1633.0
491	3682	73	16729.0
492	3689	3	1974.0
493	3692	10	792.0
494	3697	37	18630.0
495	3702	19	777.0
496	3728	6	1807.0
497	3736	7	1284.0
498	3744	29	3229.0
499	3750	19	807.0
500	3751	21	1220.0
501	3761	12	10850.0
502	3762	15	13978.0
503	3770	19	2186.0
504	3786	17	1883.0
505	3793	7	1591.0
506	3794	9	2637.0
507	3807	45	9934.0
508	3812	20	6866.0
509	3815	5	1482.0
510	3822	24	2752.0
511	3832	21	1863.0
512	3833	40	10473.0
513	3840	25	2010.0
514	3841	18	2613.0
515	3863	8	985.0
516	3869	11	2861.0
517	3874	34	35676.0
518	3884	3	1175.0
519	3887	18	757.0
520	3893	10	579.0
521	3899	14	3371.0
522	3905	8	919.0
523	3906	50	8798.0
524	3913	14	1983.0
525	3932	9	957.0
526	3933	13	5809.0
527	3938	28	5242.0
528	3944	40	14678.0
529	3952	31	12842.0
530	3981	27	26042.0
531	3994	16	5538.0
532	3996	18	4354.0
533	4003	7	653.0
534	4005	9	1243.0
535	4007	2	1147.0
536	4009	5	1724.0
537	4012	5	483.0
538	4015	19	6485.0
539	4043	7	1689.0
540	4045	42	5609.0
541	4056	4	267.0
542	4069	31	6325.0
543	4087	21	2300.0
544	4089	17	642.0
545	4092	50	7198.0
546	4100	31	11354.0
547	4108	10	1627.0
548	4120	14	7631.0
549	4128	19	12197.0
550	4131	26	1182.0
551	4133	14	609.0
552	4143	13	4378.0
553	4147	41	13510.0
554	4152	33	1259.0
555	4156	27	8704.0
556	4164	10	6307.0
557	4189	22	2030.0
558	4204	18	651.0
559	4211	22	6738.0
560	4212	8	1568.0
561	4216	47	5132.0
562	4225	51	11695.0
563	4233	13	1788.0
564	4238	91	22636.0
565	4260	11	1993.0
566	4269	35	6851.0
567	4275	19	40945.0
568	4276	9	5932.0
569	4277	32	12489.0
570	4294	4	349.0
571	4298	27	23555.0
572	4302	20	914.0
573	4306	24	1609.0
